昵称,首页地址,阅读数,最近一条推文,最近推文时间,数据更新于,行业,行业标签,行业排名,行业Top5
Bill The Investor,https://x.com/billtheinvestor,30000,Cursor 正在用 50 个人干出 20 亿美金营收。最反直觉的是，这家公司的产品经理（PM）数量为 0。 相比高盛、谷歌、苹果三家巨头的总和，Cursor 的人均创收效率简直是降维打击。这里的工程师年薪高达 80 万-110 万美金，但他们不再负责写代码，而是每人管理着几十个 AI 代理。 当工程师的职能从“编写”转向“调度”，传统的 PM 岗位还能剩下多少生存空间？,2026-05-17T19:15:36+00:00,2026-05-17T21:24:00+00:00,ai_tools,AI 工具 / Agent,2,Y
墓碑科技,https://x.com/mubeitech,65000,马斯克面对镜头承认，星舰架构上最大的一次改进，是一个 YouTuber 聊出来的。 两人当时正盘算着火箭助推器的控制系统。 SpaceX 的思路是用内部热气完成绝大多数机动动作。 马斯克顺着逻辑给对方解释原理。 话说到一半，他自己愣住了。 工程图纸上的一个盲点砸中了他。 这套高效的热气机动方案，起初只打算用在底部的助推器上。 上层的飞船本体完全脱节。 他在脑子里当场过了一遍物理模型，直接拍板：飞船也得照着改。 他连客套都省了， 这是他们做过的最大改进之一。 造全人类最强的火箭，竟然没有走什么层层审批的技术论证会。 核心架构的颠覆性修改，就在一个外行的无心发问和总工的瞬间顿悟里走完了全流程。 顶级的工程师大脑，永远处于开源状态。,2026-05-17T21:09:03+00:00,2026-05-17T21:24:00+00:00,semiconductor,半导体,1,Y
极客杰尼,https://x.com/seekjourney,54000,人麻了，独立开发者如何解决这种问题：技术上能用你的产品的人，不需要你的产品。需要你产品的人，技术上用不了你的产品。,2026-05-15T09:43:07+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,10,
Zaotang,https://x.com/zaotang18,48000,推荐～卡牌迷狂喜之作！！,2026-04-27T00:25:29+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,11,
Ken W,https://x.com/kenw_2,14000,柳州居然5.2级地震🙏 这是柳州有历史记录以来震级最高、震感最强烈的一次地震，也是广西自2019年以来遭遇的最高震级地震。,2026-05-17T19:26:08+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,23,
李岳,https://x.com/liyue_ai,240000,我们在焦虑什么？ 你不努力其实也不会饿死 努力了也不一定有好结果 所以到底是什么让我们如此焦虑？ 是未来的不确定性？ 还是不甘于平凡？,2026-05-17T16:56:22+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,3,Y
Mr Panda,https://x.com/PandaTalk8,160000,大多数程序员高薪都是假象， 看看加班时长， 按时薪计算也不高。 大厂的确高薪， 大厂尤其互联网大厂， 互联网软件行业特点是边际成本可以无限趋近零， 只要养几千名程序员就可以服务过亿的用户。,2026-05-17T11:32:05+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,3,Y
Geek Lite,https://x.com/QingQ77,3350,AI 先跑一遍 Web 应用摸清路径生成测试脚本，之后直接重放脚本跑测试，不用每次都调 AI，速度快 30 倍。 Skiritai 是个浏览器自动化测试框架，名字取自斯巴达侦察兵。就是第一次跑的时候让 AI 自己分析页面、点来点去摸清流程，然后把操作录成脚本。后面再跑就直接重放脚本，跳过 AI 推理，74 秒变 2.5 秒。,2026-05-17T15:57:00+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,45,
雪踏乌云,https://x.com/Pluvio9yte,19000,中国电信推出Token包月套餐，300块钱1.5亿，国产...,2026-05-17T16:42:35+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,21,
Fang知识分享,https://x.com/FLMdongtianfudi,8647,卷不卷 一个提供各种学习资源和工具的平台，汇集了大量的学习资料，包括电子书、视频课程、在线讲座等，可以根据自己的需求进行选择和下载。,2026-05-17T13:56:17+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,30,
宝玉,https://x.com/dotey,7323,Writing -&gt; Opus 4.6 is the best Translation -&gt; Gemini 3.1 Pro is the best,2026-05-17T03:57:59+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,35,
橘子喵,https://x.com/using_YueCheng,29000,就这么往江边一坐，一下午过去了,2026-05-04T09:17:24+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,17,
"ttty(, ) 托鱼",https://x.com/tuotuotuoyu,4156,$BABA ATH !!!! 阿里这波调整挺有意思的。吴泳铭亲自挂帅，搞了个和阿里云、电商平级的新事业群ATH，核心就围绕一个字：Token。 简单说，他们觉得未来是AI Agent的天下，这些“数字员工”干活的粮食就是Token，需求会爆。所以干脆把通义（做模型）、MaaS（送模型）、千问/悟空（用模型）这几个部门全打包，拧成一股绳，目标是从生产到消耗，把Token这条链跑通。 这思路有点像当年谷歌合并Brain和DeepMind，都是为了内部协同，别自己人打自己人。阿里这版更务实，直接奔着“怎么把AI用起来”去。,2026-03-16T11:57:20+00:00,2026-05-17T21:24:00+00:00,ai_tools,AI 工具 / Agent,3,Y
Vonng,https://x.com/RonVonng,16000,RustFS 的朋友发了篇 MinIO 10 分 CVE 漏洞的文章。其实老冯上个月就在 pgsty/minio 里把这几个高危 CVE 漏洞给修了（by Codex / Claude）。我也比较期待看看 RustFS 1.0 GA 能不能真的 Drop-In 替代 MinIO，在那之前，也欢迎试试这个分支。已经有 1.5 K GitHub Star 和 100K+ Docker pull 了,2026-05-15T02:11:51+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,24,
"CJ_Blockchain, CFA",https://x.com/nbblock,12000,这几天因为雷军去找马斯克合影的姿态。 让很多人开始怀念当年那个意气风发、跟各国元首谈笑风生的马云。 时间来到2014年9月19日，那天一家中国的互联网公司在纽交所上市了。 那是美国历史上最大的一次IPO。IPO估值1680亿美元。收盘当日市值达到2300亿。 那家公司叫阿里巴巴。马云在纽交所敲钟，Amazon、Ebay、Facebook之流，都被他踩在脚下。 时间来到2020，那年是中国互联网企业的巅峰之年。 腾讯全球市值排名第七。 阿里巴巴全球市值排名第九。 那是中国企业、中国企业家的最辉煌的时代。那时人们以为中概互联会一直这样辉煌下去。 后面的故事你们都知道了。 监管压力、反垄断，以及一些不可言说的事情，在那以后再也没有一家中国企业能够跻身世界前十之列。 你说这几天人们在怀念马云，怀念的是什么呢？ 他的意气风发？他的体面？ 也许人们只是怀念那个回不去的巅峰时代。,2026-05-16T16:17:57+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,31,
俊哥AI,https://x.com/geekbb,49000,浏览器里的拖拽式网络架构图工具，画服务器、代理、数据库之间的数据流向，让用户无需编码即可拖拽搭建网络架构图。,2026-05-17T12:26:00+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,14,
yetone,https://x.com/yetone,7475,突然意识到，其实我的 Harness 比 claude code 诞生得还早一些,2026-05-17T20:24:00+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,39,
gmh5225.eth,https://x.com/gmhzxy,10000,RT @tayvano_: lmao it's been literally 1000 days since TSSHOCK was disclosed publicly. even more since THORChain was alerted and given a w…,2026-05-16T05:07:04+00:00,2026-05-17T21:24:00+00:00,crypto,加密,14,
plantegg,https://x.com/plantegg,25000,"高房价相对于征税 谢国忠又出来说话了，这次的观点很直白：高房价本质上就是一种税。 你仔细想想，他说的没毛病。一个年轻人在北京工作，月薪两万，税后到手一万五。然后每个月还房贷一万二。剩下三千块，吃饭通勤刚好花完。 这跟直接征你80%的税有什么区别？区别就是，税你还能骂政府，房贷你只能骂自己""当初为什么要买""。 我一个朋友去年刚上车，六百万的房子，首付掏空了两家人的积蓄，月供两万三。他跟我说了一句话我到现在都记得：""我现在每天早上醒来第一个念头不是今天要干什么，而是这个月的钱够不够还。"" 最讽刺的是什么？是那些说""房价会跌你就别买""的人，和说""现在不买以后更贵""的人，往往 是同一批人。他们的共同点是：自己早就上车了。 高房价不是市场行为，是一种精心设计的财富转移机制。它把年轻人未来三十年的劳动收入 ，提前锁定给了上一代人和银行。这不叫投资，这叫收割。 谢国忠就是那个 07/08 年大喊中国房地产要崩盘的人，那会北京均价 10000 左右，和他对立的是任大炮，但是任大炮说话不招年轻人喜欢，因为那会年轻人没钱",2026-05-17T11:56:48+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,18,
@Japan_lol_w,https://x.com/Japan_lol_w,3262,RT @douga111www: 車は乗り手を選べない,2026-05-17T16:45:58+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,52,
外汇交易员,https://x.com/mranti,12000,RT @MaxForAI: 还得tmd是咱们中国人啊，这就能搞到马耳他低价ChatGPT了,2026-05-17T16:28:31+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,26,
lidang 立党 （全网劝人卖房、劝人学CS、劝人买SP500和NASDAQ100第一人）,https://x.com/lidangzzz,47000,RT @fiapp_pro: 已掌握 goal 的最佳实践，没个几天是停不了了 goal 最不应该的就是去写代码，代码边界条件太多，目前还必须要人类介入， 而商科、文科、统计，只要和上网冲浪相关的活干起来是一点都不含糊,2026-05-17T18:50:16+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,12,
luolei,https://x.com/luoleiorg,3395,今天同老婆去香港随便逛逛，同一个过道，打个卡，十一年啦🥹,2026-05-17T12:57:03+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,44,
sanyi.eth,https://x.com/sanyi_eth_,19000,啥时候 @wallet 能对hype生态支持一下？ 总感觉每次在钱包里看hyperevm上的资产的时候，很麻烦，没办法自动识别 买meme也是一样的,2026-05-16T22:45:49+00:00,2026-05-17T21:24:00+00:00,crypto,加密,13,
Cheery,https://x.com/cheery9998,5444,很多年里，我都没有真正从 0 到 1 地去亲手搓过一件事。可在这四个月里，我一次次把自己推到边界之外，不断尝试，不断推翻，不断重建。我也越来越清晰地意识到：真正值得靠近的，未必只是富有的人，而是那些认知密度更高的人。 财富有时是某个时代红利下的结果，它可能在某一个瞬间快速积累；但时代本身并不会停下，认知在迭代，共识在迁移，秩序也在不断重组。一个人如果只依赖过去成功的路径，就容易被自己的经验困住。哲学里讲，人不能两次踏进同一条河流，因为河水在变，人也在变。时代亦如此，昨日有效的方法，未必能解释今天的变量。 而那些真正高认知的人，往往不是固守答案的人，而是持续追问的人。他们会在每一次时代变化来临时，主动冲到前面去试错、复盘、修正，再把经历沉淀为新的判断力。他们的厉害之处，不只是知道什么是对的，而是有能力在混沌中重新辨认方向；不是复制旧地图，而是在新大陆上重新画地图。 这类人通常头脑极其活跃，执行力极强。他们既有思想的敏锐，也有行动的果断；既能仰望宏大的趋势，也能俯身处理具体的问题。和他们靠近，我感受到的是一种认知场域的牵引。 这段时间，我非常兴奋。但这种兴奋并不主要来自财富的积累，而是来自认知的迭代。因为我越来越相信，财富只是认知在某个阶段的外化，而认知本身，才是一个人穿越周期、理解世界、重塑自我的底层能力。真正让人持续成长的，不是拥有了什么，而是不断成为一个更能看见本质、更敢面对变化的人。,2026-05-17T10:11:35+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,44,
