signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry,industry_label,max_rank,horizon,horizon_label,label_obs_tweets
sig_nlp_lex_disagree,wmean,sig_nlp_lex_disagree_wmean,NLP 与词典情绪不一致时反转,ind_ret_5m,0,39,0.3541,0.000306,0.009921,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_nlp_lex_disagree,sum,sig_nlp_lex_disagree_sum,NLP 与词典情绪不一致时反转,ind_ret_5m,0,39,0.3541,0.000306,0.009921,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_strong_bull_fade,sum,sig_strong_bull_fade_sum,强看多 (s>0.2) 反转,ind_ret_5m,0,39,0.3316,0.002883,-0.037274,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_fade,sum,sig_bull_fade_sum,仅明显看多帖反转（拥挤做多）,ind_ret_5m,0,39,0.3308,0.002883,-0.027193,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_top3,sum,sig_contrarian_top3_sum,仅Top3 KOL的反转信号（日频 sum）,ind_ret_5m,0,39,0.3258,0.000961,0.02305,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_extreme_contrarian,sum,sig_extreme_contrarian_sum,仅极端情绪帖（|s|≥0.2）反转,ind_ret_5m,0,39,0.3241,0.002494,-0.00601,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian,sum,sig_contrarian_sum,−Sentiment × Influence（反转）,ind_ret_5m,0,39,0.3173,0.002303,-0.006802,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rt_contrarian,sum,sig_rt_contrarian_sum,仅转发帖反转,ind_ret_5m,0,39,0.3159,-5.8e-05,0.000224,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_orig,sum,sig_contrarian_orig_sum,仅原创帖（非 RT）反转,ind_ret_5m,0,39,0.3128,0.001929,-0.01258,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_imbalance_contrarian,sum,sig_imbalance_contrarian_sum,情绪方向 × 影响力反转,ind_ret_5m,0,39,0.3109,0.002642,-0.06628,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_unanimity_contrarian,sum,sig_unanimity_contrarian_sum,低分歧时加强反转（一致预期）,ind_ret_5m,0,39,0.3025,0.000551,-0.022046,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_nlp_minus_lex,sum,sig_nlp_minus_lex_sum,NLP 与词典差 × 反转,ind_ret_5m,0,39,0.2942,0.001866,-0.006802,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_crowd,sum,sig_bear_crowd_sum,看空帖占比 × 情绪反转（恐慌反弹）,ind_ret_5m,0,39,0.2771,0.001377,-0.007954,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_post_burst_contrarian,sum,sig_post_burst_contrarian_sum,发帖密集日 × 情绪反转,ind_ret_5m,0,39,0.2757,0.001392,-0.022046,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_x_viral,sum,sig_contrarian_x_viral_sum,反转 × 互动惊喜度（连续加权）,ind_ret_5m,0,39,0.2637,0.00155,-0.004354,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_strong_bull_fade,wmean,sig_strong_bull_fade_wmean,强看多 (s>0.2) 反转,ind_ret_5m,0,39,0.2557,0.002691,-0.037274,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_views,sum,sig_contrarian_views_sum,反转 × log(views),ind_ret_5m,0,39,0.2546,0.001076,-0.011218,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_fade,wmean,sig_bull_fade_wmean,仅明显看多帖反转（拥挤做多）,ind_ret_5m,0,39,0.2535,0.004064,-0.027193,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_surprise_contrarian,sum,sig_surprise_contrarian_sum,相对该 KOL 历史情绪的意外 × 反转,ind_ret_5m,0,39,0.1943,0.003609,0.018543,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_top3,wmean,sig_contrarian_top3_wmean,仅Top3 KOL的反转信号（日频 sum）,ind_ret_5m,0,39,0.1876,0.000961,0.02305,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_viral_contrarian,sum,sig_viral_contrarian_sum,高互动惊喜帖才做情绪反转,ind_ret_5m,0,39,0.1776,0.002488,0.024992,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_dispersion_contrarian,sum,sig_dispersion_contrarian_sum,高分歧日 × 情绪反转,ind_ret_5m,0,39,0.177,0.001698,-0.022646,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_only,sum,sig_bear_only_sum,仅看空情绪 × Influence,ind_ret_5m,0,39,0.1764,0.001553,-0.047457,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_imbalance_contrarian,wmean,sig_imbalance_contrarian_wmean,情绪方向 × 影响力反转,ind_ret_5m,0,39,0.1755,0.002864,-0.06628,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_extreme_contrarian,wmean,sig_extreme_contrarian_wmean,仅极端情绪帖（|s|≥0.2）反转,ind_ret_5m,0,39,0.1613,0.002354,0.000121,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian,wmean,sig_contrarian_wmean,−Sentiment × Influence（反转）,ind_ret_5m,0,39,0.1571,0.003675,0.017783,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_kol_breadth_contrarian,sum,sig_kol_breadth_contrarian_sum,参与 KOL 数 × 情绪反转,ind_ret_5m,0,39,0.1437,0.001547,-0.022046,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rt_contrarian,wmean,sig_rt_contrarian_wmean,仅转发帖反转,ind_ret_5m,0,39,0.1418,-5.8e-05,0.000224,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_consensus_contrarian,sum,sig_consensus_contrarian_sum,行业共识情绪反转（|均值|×影响力）,ind_ret_5m,0,39,0.1406,0.001547,-0.022046,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_orig,wmean,sig_contrarian_orig_wmean,仅原创帖（非 RT）反转,ind_ret_5m,0,39,0.1348,0.004072,0.012005,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_contrarian_views,wmean,sig_contrarian_views_wmean,反转 × log(views),ind_ret_5m,0,39,0.1339,0.00086,-0.01258,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_surprise_contrarian,wmean,sig_surprise_contrarian_wmean,相对该 KOL 历史情绪的意外 × 反转,ind_ret_5m,0,39,0.1321,0.003335,0.010612,ai_tech,AI / 大模型,all,5m,5分钟,638
